lineatopus,Trunk Ground,Trunk Ground
lineatus,Mainland,Mainland
liogaster,Mainland,Mainland
litoralis,Unknown,Unknown
longiceps,Trunk Crown,Trunk Crown
longitibialis,Unknown,Unknown
loveridgei,Mainland,Mainland
loysianus,Trunk,Trunk
lucius,Unknown,Unknown
luteogularis,Crown Giant,Crown Giant
lynchi,Mainland,Mainland
lyra,Mainland,Mainland
macrolepis,Mainland,Mainland
maculiventris,Mainland,Mainland
magnaphallus,Mainland,Mainland
marcanoi,Trunk Ground,Trunk Ground
mariarum,Mainland,Mainland
marron,Trunk,Trunk
matudai,Mainland,Mainland
maynardi,Trunk Crown,Trunk Crown
mccraniei,Mainland,Mainland
medemi,Mainland,Mainland
megapholidotus,Mainland,Mainland
meridionalis,Mainland,Mainland
mestrei,Trunk Ground,Trunk Ground
microlepidotus,Mainland,Mainland
milleri,Mainland,Mainland
monensis,Trunk Ground,Trunk Ground
monticola,Unknown,Unknown
morazani,Mainland,Mainland
muralla,Mainland,Mainland
nebulosus,Mainland,Mainland
noblei,Crown Giant,Crown Giant
notopholis,Mainland,Mainland
occultus,Twig,Twig
olssoni,Grass Bush,Grass Bush
omiltemanus,Mainland,Mainland
onca,Mainland,Mainland
opalinus,Trunk Crown,Trunk Crown
ophiolepis,Grass Bush,Grass Bush
ortonii,Mainland,Mainland
osa,Mainland,Mainland
oxylophus,Mainland,Mainland
parvauritus,Mainland,Mainland
paternus,Twig,Twig
pentaprion,Mainland,Mainland
petersii,Mainland,Mainland
pijolense,Mainland,Mainland
pinchoti,Mainland,Mainland
placidus,Twig,Twig
planiceps,Mainland,Ground
poecilopus,Mainland,Mainland
pogus,Unknown,Unknown
porcatus,Trunk Crown,Trunk Crown
porcus,Unknown,Unknown
pulchellus,Grass Bush,Grass Bush
pumilus,Unknown,Unknown
purpurgularis,Mainland,Mainland
quaggulus,Mainland,Ground
quercorum,Mainland,Mainland
reconditus,Trunk Ground,Trunk Ground
rejectus,Grass Bush,Grass Bush
ricordii,Crown Giant,Crown Giant
rivalis,Mainland,Mainland
roatanensis,Mainland,Mainland
rodriguezii,Mainland,Mainland
rubribarbaris,Mainland,Mainland
rubribarbus,Trunk Ground,Trunk Ground
ruibali,Unknown,Unknown
rupinae,Unknown,Unknown
sagrei,Trunk Ground,Trunk Ground
salvini,Mainland,Mainland
saxatilis,Trunk Ground,Trunk Ground
schwartzi,Unknown,Unknown
scriptus,Trunk Ground,Trunk Ground
scypheus,Mainland,Ground
semilineatus,Grass Bush,Grass Bush
serranoi,Mainland,Mainland
sheplani,Twig,Twig
shrevei,Trunk Ground,Trunk Ground
sminthus,Mainland,Mainland
strahmi,Trunk Ground,Trunk Ground
stratulus,Trunk Crown,Trunk Crown
subocularis,Mainland,Mainland
tandai,Mainland,Ground
taylori,Mainland,Mainland
tolimensis,Mainland,Mainland
townsendi,Mainland,Mainland
trachyderma,Mainland,Ground
tropidolepis,Mainland,Mainland
uniformis,Mainland,Ground
unilobatus,Mainland,Mainland
valencienni,Twig,Twig
vanidicus,Grass Bush,Grass Bush
villai,Mainland,Mainland
vittigerus,Mainland,Mainland
wampuensis,Mainland,Mainland
wattsi,Unknown,Unknown
websteri,Trunk,Trunk
wellbornae,Mainland,Mainland
wermuthi,Mainland,Mainland
woodi,Mainland,Mainland
yoroensis,Mainland,Mainland
zeus,Mainland,Mainland
